target_owner	path
Position	backend/inventory-context/src/test/java/com/flowzati/archone/inventory/balance/visibility/infrastructure/JdbcStockQuantViewRepositoryTest.java
Cross-domain Application	backend/inventory-context/src/test/java/com/flowzati/archone/inventory/entrypoint/temporal/TemporalInventoryActivitiesAdapterTest.java
Movement	backend/inventory-context/src/test/java/com/flowzati/archone/inventory/movement/operation/domain/StockMoveTest.java
Movement	backend/inventory-context/src/test/java/com/flowzati/archone/inventory/movement/operation/domain/StockOperationTest.java
Movement	backend/inventory-context/src/test/java/com/flowzati/archone/inventory/movement/operation/infrastructure/StockMoveMapperTest.java
Movement	backend/inventory-context/src/test/java/com/flowzati/archone/inventory/movement/registration/application/InboundReceiptRegistrarTest.java
Movement	backend/inventory-context/src/test/java/com/flowzati/archone/inventory/movement/registration/application/StockOperationRegistrarTest.java
Movement	backend/inventory-context/src/test/java/com/flowzati/archone/inventory/movement/visibility/application/StockOperationQueryServiceTest.java
Movement	backend/inventory-context/src/test/java/com/flowzati/archone/inventory/movement/visibility/entrypoint/StockOperationControllerTest.java
Movement	backend/inventory-context/src/test/java/com/flowzati/archone/inventory/movement/visibility/infrastructure/JdbcStockOperationViewRepositoryTest.java
Location	backend/inventory-context/src/test/java/com/flowzati/archone/inventory/warehouse/location/entrypoint/FacilityLocationControllerTest.java
Reservation	backend/inventory-context/src/testFixtures/java/com/flowzati/archone/inventory/allocation/assignment/testsupport/StockOperationDemandFactory.java
Position	backend/inventory-context/src/testFixtures/java/com/flowzati/archone/inventory/balance/onhand/domain/StockFixtures.java
Read Side / Test Support	backend/inventory-context/src/testFixtures/java/com/flowzati/archone/inventory/testsupport/InventoryFixtures.java
Read Side / Test Support	backend/logistics-data-context/src/test/java/com/flowzati/archone/logisticsdata/LogisticsDataContextBoundaryTest.java
